Index,Team,GP,GS,Mins,G,A,S,SOT,KP,Tackles,FC,FS,OFF,YC,RC,P
65,Racing Louisville FC,10,0,131,1,0,4,2,0,1,2,0,2,0,0,F
71,San Diego Wave FC,7,0,116,0,1,6,4,1,4,4,1,1,1,0,F
72,Washington Spirit,7,0,72,0,0,3,2,0,3,3,1,0,0,0,F
79,Orlando Pride,5,0,85,1,0,3,1,0,1,3,6,0,0,0,F
80,Portland Thorns,5,0,76,0,0,1,0,0,2,2,2,1,0,0,F
81,Racing Louisville FC,4,0,4,0,0,1,0,0,0,0,0,0,0,0,F
83,Orlando Pride,3,0,9,0,0,0,0,0,0,0,0,1,0,0,F
84,Orlando Pride,2,0,57,0,0,1,0,0,1,0,2,0,0,0,F
86,Washington Spirit,2,0,2,0,0,0,0,0,0,1,0,0,0,0,F
88,Seattle Reign,2,0,45,0,0,1,1,0,0,3,2,1,0,0,F
89,Portland Thorns,1,0,12,0,0,0,0,0,0,0,0,0,0,0,F
90,Orlando Pride,1,0,23,0,0,0,0,0,2,0,0,0,0,0,F
91,San Diego Wave FC,1,0,1,0,0,0,0,0,0,1,0,0,0,0,F
111,Houston Dash,4,0,20,0,0,1,0,0,1,1,1,0,0,0,D
113,Angel City FC,3,0,52,0,0,2,0,0,0,1,0,0,0,0,D
117,NJ/NY Gotham FC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,D
122,San Diego Wave FC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,D
124,Houston Dash,1,0,7,0,0,0,0,0,0,0,0,0,0,0,D
132,Houston Dash,3,0,29,0,0,0,0,0,0,0,0,0,0,0,D
134,Chicago Red Stars,2,0,52,0,0,0,0,0,6,1,1,0,0,0,D
142,Bay FC,4,0,54,0,0,0,0,0,0,0,0,0,0,0,D
144,Orlando Pride,8,0,49,0,0,0,0,0,1,2,1,0,0,0,D
183,Racing Louisville FC,1,0,11,0,0,0,0,0,0,0,0,0,0,0,D
187,Orlando Pride,4,0,33,0,0,0,0,0,1,1,0,0,0,0,M
195,Seattle Reign,2,0,3,0,0,0,0,0,0,0,1,0,0,0,M
196,Racing Louisville FC,8,0,133,0,0,1,1,0,0,0,2,0,0,0,M
197,Kansas City Current,4,0,16,0,0,0,0,0,1,3,1,0,1,0,M
214,Chicago Red Stars,1,0,6,0,0,0,0,0,0,0,0,0,0,0,M
220,Chicago Red Stars,1,0,11,0,0,0,0,0,0,0,0,0,0,0,M
221,Houston Dash,1,0,1,0,0,0,0,0,0,0,0,0,0,0,M
225,Washington Spirit,1,0,19,0,0,0,0,0,0,0,1,0,0,0,M
227,NJ/NY Gotham FC,4,0,19,0,0,0,0,0,0,0,0,0,0,0,M
230,Kansas City Current,4,0,54,0,0,1,1,0,2,3,0,1,0,0,M
239,Chicago Red Stars,1,0,1,0,0,0,0,0,0,0,0,0,0,0,M
251,NJ/NY Gotham FC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,M
264,NJ/NY Gotham FC,5,0,52,0,0,2,1,0,1,1,0,0,0,0,M
271,San Diego Wave FC,7,0,145,0,1,1,0,1,6,1,4,0,0,0,M
308,Washington Spirit,1,0,1,0,0,0,0,0,0,0,0,0,0,0,G
334,Houston Dash,1,0,8,0,0,0,0,0,0,0,0,0,0,0,M
346,Chicago Red Stars,11,0,233,0,0,5,2,0,5,1,5,1,1,0,M
352,Bay FC,1,0,14,0,0,1,0,0,0,0,0,0,0,0,M
357,NJ/NY Gotham FC,1,0,1,0,0,0,0,0,0,1,0,0,0,0,M
369,Utah Royals FC,2,0,2,0,0,0,0,0,1,1,0,0,0,0,M
390,Portland Thorns,1,0,12,0,0,0,0,0,0,0,0,0,0,0,M
391,Seattle Reign,5,0,32,1,0,1,1,0,0,0,1,0,0,0,M
392,North Carolina Courage,2,0,7,0,0,0,0,0,2,0,1,0,0,0,M
396,Racing Louisville FC,1,0,3,0,0,0,0,0,1,0,0,0,0,0,M
406,Racing Louisville FC,12,0,73,0,0,2,1,0,0,4,1,0,1,0,M
409,Washington Spirit,4,0,18,0,0,0,0,0,2,1,1,0,0,0,M
416,Kansas City Current,12,0,134,0,0,0,0,0,6,1,0,0,0,0,M
419,Portland Thorns,6,0,83,0,1,2,2,1,1,4,0,0,0,0,M
424,Seattle Reign,7,0,111,0,0,0,0,0,0,1,2,0,0,0,M
433,Portland Thorns,5,0,34,0,0,0,0,0,2,1,1,0,0,0,M
437,NJ/NY Gotham FC,15,0,195,0,0,0,0,0,6,6,4,0,1,0,M
444,Racing Louisville FC,1,0,12,0,0,0,0,0,1,1,0,0,0,0,D
449,Bay FC,1,0,9,0,0,0,0,0,0,0,0,0,0,0,D
455,Washington Spirit,1,0,1,0,0,0,0,0,0,0,0,0,0,0,D
470,Angel City FC,3,0,29,0,0,0,0,0,1,0,0,0,0,0,D
480,Washington Spirit,2,0,70,0,0,0,0,0,0,0,0,0,0,0,D
530,Houston Dash,3,0,29,0,0,0,0,0,1,0,0,0,0,0,D
548,Orlando Pride,8,0,82,0,1,1,0,1,4,1,0,0,1,0,F
565,Racing Louisville FC,1,0,18,0,0,0,0,0,0,0,0,0,0,0,F
567,Chicago Red Stars,3,0,95,1,0,3,2,0,2,3,1,0,1,0,F
575,Racing Louisville FC,14,0,163,1,0,3,2,0,8,0,0,2,0,0,F
579,Kansas City Current,4,0,88,1,0,1,1,0,0,0,1,0,0,0,F
585,Kansas City Current,3,0,43,0,0,3,0,0,2,2,0,0,0,0,F
586,Angel City FC,5,0,85,0,0,0,0,0,1,5,2,1,1,0,F
595,Orlando Pride,4,0,48,0,0,0,0,0,4,1,3,1,0,0,F
600,Kansas City Current,6,0,45,0,0,2,1,0,4,1,1,0,1,0,F
610,Utah Royals FC,3,0,10,0,0,0,0,0,0,0,0,0,0,0,F
615,Kansas City Current,10,0,131,1,0,1,1,0,1,2,1,1,0,0,F
628,Washington Spirit,15,0,234,2,0,7,4,0,3,9,1,4,0,1,F
629,NJ/NY Gotham FC,4,0,89,0,1,0,0,1,0,5,3,0,1,0,F
644,Seattle Reign,4,0,25,0,0,1,1,0,1,2,0,1,0,0,F
47,North Carolina Courage,16,1,419,0,3,8,7,3,2,1,5,4,0,0,F
64,Washington Spirit,10,1,154,0,0,3,1,0,4,7,3,0,0,0,F
85,North Carolina Courage,2,1,48,0,0,0,0,0,1,0,0,0,0,0,F
103,Orlando Pride,8,1,193,0,0,1,1,0,3,4,1,0,0,0,D
107,San Diego Wave FC,2,1,66,0,0,0,0,0,1,0,0,0,0,0,D
139,Kansas City Current,2,1,91,0,0,0,0,0,0,1,0,0,0,0,D
184,Chicago Red Stars,11,1,176,0,0,4,0,0,0,2,2,0,0,0,M
188,Seattle Reign,6,1,126,0,0,0,0,0,2,1,1,0,0,0,M
189,Racing Louisville FC,2,1,93,0,0,0,0,0,2,1,0,0,0,0,M
202,Houston Dash,7,1,171,0,0,3,1,0,3,12,4,0,2,0,M
210,Washington Spirit,4,1,133,0,0,0,0,0,4,3,1,0,0,0,M
216,Chicago Red Stars,5,1,152,0,0,0,0,0,2,1,1,0,0,0,M
252,Racing Louisville FC,8,1,246,0,1,5,2,1,6,4,6,0,0,0,M
253,Portland Thorns,7,1,195,0,0,2,0,0,4,1,0,1,0,0,M
260,North Carolina Courage,2,1,91,0,0,2,1,0,1,1,0,0,0,0,M
265,Houston Dash,9,1,186,0,0,0,0,0,4,2,0,0,0,0,M
286,Orlando Pride,1,1,90,0,0,0,0,0,0,0,0,0,0,0,G
306,San Diego Wave FC,2,1,117,0,0,0,0,0,0,0,1,0,0,0,G
314,Houston Dash,1,1,90,0,0,0,0,0,0,0,0,0,0,0,G
323,Utah Royals FC,1,1,90,0,0,0,0,0,0,0,0,0,0,0,G
324,Utah Royals FC,1,1,90,0,0,0,0,0,0,0,0,0,0,0,G
335,Racing Louisville FC,3,1,85,0,0,0,0,0,1,2,0,1,1,0,M
388,Seattle Reign,2,1,64,0,0,0,0,0,0,0,0,0,0,0,M
421,Houston Dash,5,1,165,1,0,1,1,0,1,3,1,0,1,0,M
422,North Carolina Courage,12,1,208,2,1,4,4,1,2,3,5,1,2,0,M
428,NJ/NY Gotham FC,12,1,159,0,0,1,0,0,5,3,3,0,1,0,M
432,Orlando Pride,4,1,72,0,0,0,0,0,2,2,0,0,0,0,M
458,Orlando Pride,4,1,75,0,0,0,0,0,3,2,0,0,0,0,D
468,Orlando Pride,8,1,174,0,0,0,0,0,9,8,6,0,0,0,D
503,Utah Royals FC,4,1,114,0,0,0,0,0,3,1,1,0,0,0,D
509,NJ/NY Gotham FC,3,1,81,0,0,0,0,0,0,0,1,0,0,0,D
532,Kansas City Current,3,1,71,0,0,0,0,0,0,0,0,0,0,0,D
550,Chicago Red Stars,1,1,45,0,0,0,0,0,3,0,0,0,0,0,F
566,Bay FC,8,1,97,0,0,0,0,0,1,0,1,1,0,0,F
568,Chicago Red Stars,15,1,215,0,1,4,1,1,3,3,3,2,0,0,F
616,Angel City FC,9,1,196,1,0,5,3,0,4,3,0,2,0,0,F
618,NJ/NY Gotham FC,1,1,45,0,0,1,1,0,0,1,1,0,1,0,F
641,Houston Dash,4,1,107,0,0,0,0,0,1,1,2,0,1,0,F
647,North Carolina Courage,11,1,380,2,2,10,5,2,1,3,4,1,0,0,F
44,Chicago Red Stars,16,2,424,0,0,3,0,0,8,7,10,4,2,0,F
48,Portland Thorns,15,2,336,0,0,12,4,0,2,4,3,5,0,0,F
57,Chicago Red Stars,14,2,372,2,1,5,3,1,4,2,6,3,0,0,F
60,Houston Dash,12,2,357,0,0,5,1,0,2,1,2,4,0,0,F
62,Utah Royals FC,12,2,244,0,0,4,1,0,10,9,1,2,1,0,F
78,NJ/NY Gotham FC,5,2,151,0,0,0,0,0,1,4,1,0,0,0,F
87,Chicago Red Stars,2,2,180,1,0,7,4,0,1,2,3,0,0,0,F
94,Kansas City Current,3,2,225,0,0,0,0,0,3,1,1,0,0,0,D
97,Chicago Red Stars,9,2,273,0,0,0,0,0,3,5,2,2,0,0,D
105,North Carolina Courage,4,2,194,0,0,0,0,0,9,3,1,0,0,0,D
127,Seattle Reign,5,2,222,0,0,1,0,0,2,0,0,0,0,0,D
172,San Diego Wave FC,2,2,180,1,0,1,1,0,1,1,1,0,0,0,D
194,Houston Dash,7,2,253,1,0,3,3,0,2,2,4,0,0,0,M
213,Kansas City Current,4,2,176,0,0,0,0,0,6,2,2,0,0,0,M
237,Chicago Red Stars,3,2,217,0,0,0,0,0,2,0,0,0,0,0,M
256,Washington Spirit,11,2,288,0,0,3,1,0,5,7,7,0,1,0,M
263,Portland Thorns,10,2,264,0,0,0,0,0,8,6,0,0,1,0,M
267,Seattle Reign,16,2,433,0,2,1,1,2,9,16,4,0,5,0,M
282,Washington Spirit,3,2,181,0,0,0,0,0,0,0,1,0,0,0,G
284,Chicago Red Stars,2,2,180,0,0,0,0,0,0,0,0,0,0,0,G
291,Portland Thorns,2,2,210,0,0,0,0,0,0,0,0,0,0,0,G
298,Utah Royals FC,3,2,265,0,0,0,0,0,0,0,0,0,0,0,G
299,Bay FC,2,2,180,0,0,0,0,0,0,0,0,0,0,0,G
328,Chicago Red Stars,3,2,208,0,0,0,0,0,0,0,0,0,0,0,G
332,San Diego Wave FC,6,2,145,0,0,0,0,0,2,1,2,0,0,0,M
340,Houston Dash,17,2,359,0,0,3,1,0,2,1,3,0,0,0,M
365,Utah Royals FC,4,2,209,0,0,5,2,0,7,4,1,0,0,0,M
381,Orlando Pride,13,2,337,0,0,2,0,0,8,4,3,0,1,0,M
384,Orlando Pride,3,2,192,0,0,0,0,0,2,5,6,0,2,0,M
418,Bay FC,2,2,156,0,0,0,0,0,0,2,3,0,0,0,M
431,Utah Royals FC,15,2,254,0,1,2,0,1,9,4,6,0,0,0,M
466,Utah Royals FC,2,2,135,0,0,0,0,0,0,1,3,0,0,0,D
488,Portland Thorns,12,2,248,0,1,2,0,1,4,2,1,0,0,0,D
493,Seattle Reign,5,2,211,0,0,0,0,0,3,1,4,0,1,0,D
